-4,591032439

-7,202076598

-7,925588979

-6,387102569

-4,153264597

-2,612769584

-2,18449834

-2,803438525

-3,773978178

-3,829466975

-3,06704605

-3,342855655

-4,495908923

-4,288115274

-2,665404134

-0,904113341

0,544816185

0,716751631

-0,910183005

-2,922304297

-4,112748996

-4,629723759

-4,588189736

-3,99778424

-3,474330399

-3,224182987

-2,5307876

-1,515526751

-1,32218991

-1,96181717

-2,287990117

-1,795723793

-1,014417605

-0,507988496

-0,063802936

0,598306721

0,917607621

0,556429574

0,373425178

0,995660405

1,512190836

0,981482124

0,237143416

0,647914145

2,109108174

3,417892607

3,76752279

3,268561862

2,570965482

2,648893637

4,2983568

6,790762191

7,796048622

6,138277813

3,53573775

2,111190629

2,21925703

3,406051661

5,313625008

6,879353644

6,654643344

5,522597151

5,380984134

5,18643531

3,25817037

0,589937284

-0,805187351

-0,104679046

1,584096503

1,966359903

-0,164499008

-3,587450029

-5,887623393

-5,393440517

-2,310625291

1,044955303

2,229452121

1,16624322

-0,504123474

-1,449595364

-1,194007536

-0,072490921

1,015183545

1,520964534

1,857721929

2,50998439

3,0312509

3,290914629

4,266362228

5,849984255

6,219072435

4,134493718

0,15529788

-3,681206836

-5,16720908

-3,623723113

-0,222024915

2,506149383

2,212693915

-0,463577112

-2,243584257

-1,1802112

1,767368503

4,488653065

5,51348016

4,817590331

3,369516699

2,081180822

1,0971293

0,459290585

1,391513518

4,786501681

8,728309707

9,804234898

6,792348588

2,14327095

-0,224073959

1,418613964

5,204055348

7,82042144

7,351537196

4,086624179

-0,229243692

-3,587085065

-5,03900887

-3,860828788

-0,573807191

0,937881196

-0,082004601

-0,315946004

-3,146562445

-12,03357336

-18,11814211

-17,19802519

-17,10874005

-19,7305274

-22,35237635

-25,54611405

-28,00030021

-26,55713201

-17,0820146

-1,905067432

3,938838585

-0,508454266

-1,260600663

-7,761273415

-29,08611383

-39,37063333

-30,05788042

-24,41845626

-26,36932466

-28,32449818

-31,43609807

-34,09984982

-33,7114644

-31,99597005

-30,83604897

-31,50225569

-34,98875688

-39,47409338

-42,66090159

-45,36446565

-48,69143579

-50,84562567

-50,83990656

-37,56288064

-6,208475702

9,213170492

-0,584874352

-3,198862788

24,19685509

76,14186913

95,78684636

69,60792033

47,75834235

27,10462476

-0,046385737

-5,94779887

1,926959974

1,398996534

-1,285479614

0,043469787

0,438346491

-0,198997402

-0,072466737

0,101087568

-0,016583306

-0,028985194

0,018035101

0,002748582

-0,007561779

0,002190322

0,00177038

-0,001520077

7,42E-06

0,0005372

-0,000227646

-9,56E-05

0,000120957

-1,67E-05

-3,60E-05

2,10E-05

4,00E-06

