-0,0453737442211431;
-0,0440663416732085;
-0,0431632818766445;
-0,0411160696138225;
-0,0386751513417768;
-0,0370781350698356;
-0,0361026133777845;
-0,0372572026906194;
-0,0402597321772465;
-0,0421873144295942;
-0,0433656023198678;
-0,0458903072246051;
-0,0488297957275169;
-0,0488401082573048;
-0,0453822435180384;
-0,0430842300868161;
-0,0453825163269849;
-0,0490617266970463;
-0,0489362484059399;
-0,0452575092732996;
-0,0428203594819113;
-0,042822112211362;
-0,0419548589649498;
-0,0409924392365469;
-0,0429956984262505;
-0,0451951482263743;
-0,0438247494057232;
-0,0410819851186855;
-0,040939703966973;
-0,0433378605411828;
-0,0457903644980815;
-0,0471817495474858;
-0,0483140514773256;
-0,0497267860394668;
-0,0500489641186405;
-0,0483252149684075;
-0,0468153303259303;
-0,0479096920254966;
-0,0499720445072946;
-0,0500985729613262;
-0,0362196539552106;
-0,00546982271575882;
0,0087881123654151;
-0,000726687789364737;
-0,00297930243425992;
-0,00990017804742622;
-0,0390281544053528;
-0,0551257184020574;
-0,0481338238725169;
-0,0473783362393388;
-0,051111785502095;
-0,0483360507233896;
-0,0463205074415662;
-0,0471273123640281;
-0,0467427877338662;
-0,0462204356229234;
-0,0474855186217727;
-0,0478910681349664;
-0,0468548339909984;
-0,0462855137401237;
-0,0483456217284908;
-0,0539156342572235;
-0,0559949342975521;
-0,0520941200824282;
-0,0496582861669855;
-0,0514321814645897;
-0,0546974097806796;
-0,0551339271026203;
-0,052087620753307;
-0,0499811877252615;
-0,050575660586719;
-0,0519667701434896;
-0,0518313602209959;
-0,0510384033433371;
-0,0516317423396386;
-0,0391019165960714;
-0,00651789688161878;
0,00964446621655658;
-0,000616682405067556;
-0,00334499728435364;
-0,0116654568525961;
-0,0454822537263385;
-0,0635407526497423;
-0,0524666128798123;
-0,0475507466405602;
-0,0512200237580958;
-0,0510461550912097;
-0,0512085310556439;
-0,0527065163254147;
-0,0529749023128889;
-0,0389125743312354;
-0,00610788753966058;
0,0095133158253695;
-0,000724573160971244;
-0,00325048322424885;
-0,0109771439235619;
-0,0426045992266558;
-0,0594915319948518;
-0,0520734285947072;
-0,0521252766318189;
-0,0552614459686297;
-0,0502401584684858;
-0,0479553194343746;
-0,0508235434254358;
-0,0528135368770284;
-0,0531554258412332;
-0,0536508342685413;
-0,0540495107241634;
-0,0550965850479269;
-0,0590475774387824;
-0,0648491602663383;
-0,0693090950923484;
-0,0701809088659737;
-0,0656665501190888;
-0,0571941504312976;
-0,0501401812880612;
-0,0473450233477632;
-0,0471418095255388;
-0,0480981691323941;
-0,0479773685860249;
-0,0338555609055851;
-0,00458862154522795;
0,00808808594761048;
-0,000827375319096411;
-0,00267552862567988;
-0,0140237604938879;
-0,0534396031934731;
-0,0765728498405149;
-0,0706222194389223;
-0,0726344145173379;
-0,0802388716395065;
-0,0782836531783438;
-0,0742097784696374;
-0,0720340121471104;
-0,0702100671889677;
-0,0510519644581568;
-0,00791397753473936;
0,0124594700827078;
-0,000980013305103455;
-0,00424400465500177;
-0,0140057499974015;
-0,0546772884628914;
-0,0746329640174148;
-0,0601499326034378;
-0,0587756290115933;
-0,068160951785492;
-0,0650008561758847;
-0,0600583826387989;
-0,0611598362473243;
-0,0637588530347868;
-0,0693327347567766;
-0,0756203503790811;
-0,0741195771681162;
-0,0687896946508944;
-0,0672370837138063;
-0,0495469409955615;
-0,00744374895448753;
0,0120915262409911;
-0,00105068619568509;
-0,00407448802105935;
-0,016170062663761;
-0,0616811519003438;
-0,0834079065968106;
-0,0660121530762958;
-0,0594192082348691;
-0,0478869666710222;
-0,00729252347998665;
0,012118461306574;
-0,00122347112077322;
-0,00399462399834289;
-0,0208178473421878;
-0,0759424105838705;
-0,095753968692332;
-0,0622056278716071;
-0,0449742465722945;
-0,0373301170366733;
-0,00650533370367767;
0,00972255842697287;
-0,000766806798149061;
-0,00329198495606182;
-0,0327442473883828;
-0,120987445881795;
-0,169622574955422;
-0,134393884462751;
-0,0981673361606715;
-0,100338828695905;
-0,130179483674377;
-0,152873486096577;
-0,136379666684246;
-0,103568124621546;
-0,150956884409179;
-0,322218504822121;
-0,445221843062892;
